"FEATURE_ID","RT","PEPMASS","SIGMA_SCORE","NAME_METABOSCAPE","MOLECULAR_FORMULA","ADDUCT","KEGG","CAS","MaxIntensity","sample_blank_MeanIntensity","sample_full_mix_MeanIntensity","50MeOH_10570","50MeOH_10571","50MeOH_10572","FullMix_10574","FullMix_10577","FullMix_10580"
467,356.48,409.33972,,,,ION=[M+H]+,,,11203.22,8135.40,10062.63,10241.12,4471.48,9693.58,11203.22,9521.22,9463.43
468,356.71,589.41885,,,,ION=[M+H]+,,,6476.30,2860.26,6209.76,4301.39,1798.17,2481.22,6476.30,5885.18,6267.79
469,357.00,348.28724,,,,ION=[M+H]+,,,13020.16,7553.67,8631.41,4148.23,9636.02,8876.77,13020.16,5407.04,7467.02
470,357.51,545.39238,,,,ION=[M+H]+,,,7316.47,4085.41,6969.27,5310.02,4202.09,2744.13,7316.47,6365.27,7226.06
471,357.87,449.31169,45.119,"Deoxycholic acid glycine conjugate","C26H43NO5",ION=[M+H]+,"C05464","360-65-6",30288.46,7469.72,27717.78,8907.06,7796.86,5705.24,25388.74,30288.46,27476.14
472,358.16,880.61584,,,,ION=[M+H]+,,,5971.12,20.52,5689.74,61.57,0.00,0.00,5971.12,5696.27,5401.83
473,358.31,501.36576,53.470,"LDGCC 17:1","C27H51NO7",ION=[M+H]+,,,6090.59,2941.51,5503.16,6090.59,2485.18,248.75,5597.16,5363.28,5549.03
474,358.48,457.34068,28.995,"4-[(5R,6R,9S,13S)-7-acetyl-1,7-diazatricyclo[7.3.1.0࿵,¹³]tridecan-6-yl]-N-methyl-N-[2-(1,3,5-trimethyl-1H-pyrazol-4-yl)ethyl]butanamide","C26H43N5O2",ION=[M+H]+,,,6196.62,2160.24,5798.50,0.00,2399.35,4081.38,6196.62,5935.51,5263.35
475,358.60,349.25947,,,,ION=[M+H]+,,,24854.34,19735.90,16407.49,21879.69,24854.34,12473.69,9300.77,20174.39,19747.31
476,358.75,667.61234,28.359,"Cer 29:1;3O/12:0;(2OH)","C41H81NO5",ION=[M+H]+,,,40421.50,25766.54,11840.26,40421.50,21602.16,15275.97,6838.27,15070.52,13611.98
477,358.83,227.22522,,,,ION=[M+H]+,,,5213.09,4087.93,4100.19,4581.77,4138.55,3543.46,3265.68,5213.09,3821.81
478,359.29,103.09954,NA,"Choline","C5H13NO",ION=[M+H]+,"C00114","62-49-7",82009.32,52956.03,77753.48,4713.19,75725.60,78429.28,81490.64,69760.48,82009.32
479,359.68,253.24082,31.114,"1-Dodecyl-2-pyrrolidinone","C16H31NO",ION=[M+H]+,,,12445.97,968.08,11966.29,2904.23,0.00,0.00,11714.85,11738.04,12445.97
480,360.15,281.27211,NA,"Laurocapram","C18H35NO",ION=[M+H]+,,,17184.11,12667.75,9388.27,6322.03,17184.11,14497.11,7334.01,8191.92,12638.87
481,360.65,423.32035,,,,ION=[M+H]+,,,4836.39,4383.44,4264.94,3987.85,4450.23,4712.25,4118.17,3840.26,4836.39
482,360.71,370.28722,,,,ION=[M+H]+,,,33768.55,25.05,30242.78,0.00,75.14,0.00,26904.59,30055.19,33768.55
483,360.97,521.58972,,,,ION=[M+H]+,,,38155.89,27947.61,17952.42,38155.89,24695.44,20991.51,18246.66,15488.61,20121.98
484,361.31,156.00590,,,,ION=[M+H]+,,,30492.70,5167.45,11746.65,8215.67,3287.01,3999.68,30492.70,2317.92,2429.33
485,361.34,45.05767,,,,ION=[M+H]+,,,767096.69,525250.42,351957.77,85718.02,722936.56,767096.69,110547.63,456842.19,488483.50
486,361.39,826.43239,,,,ION=[M+H]+,,,94557.14,11263.06,33257.83,14752.61,6538.36,12498.21,94557.14,2173.55,3042.81
